Player,Mins,G,xG,Conv%,SOT,Pass%,A,P,Cross,CK,KP,AD,AD%,FC,FS,OFF,YC,RC,match_id,side,club,GS,GA,XGA,Pass,THRW,LB,LNCH,GK,CC
M. Ojeda,90,0,0.39,6,3,88.6,0,39,3,5,5,0,0,1,1,0,0,0,torvsorl-10-18-2025,home,TOR,,,,,,,,,
D. McGuire,90,1,0.29,2,2,71.4,0,15,1,0,4,1,33.33,2,2,0,1,0,torvsorl-10-18-2025,home,TOR,,,,,,,,,
T. Spicer,45,0,0.1,3,1,83.3,0,10,0,0,1,0,0,0,0,0,0,0,torvsorl-10-18-2025,home,TOR,,,,,,,,,
D. Brekalo,90,1,0.43,2,1,94.4,0,67,0,0,1,3,60,1,1,0,0,0,torvsorl-10-18-2025,home,TOR,,,,,,,,,
L. Muriel,27,0,0,0,0,75,1,9,0,0,1,0,0,0,1,0,0,0,torvsorl-10-18-2025,home,TOR,,,,,,,,,
C. Guske,3,0,0,0,0,100,0,9,0,0,0,0,0,0,0,0,0,0,torvsorl-10-18-2025,home,TOR,,,,,,,,,
M. Pašalić,63,0,0.32,6,2,73.1,1,19,1,3,1,0,0,1,2,0,0,0,torvsorl-10-18-2025,home,TOR,,,,,,,,,
N. Rodríguez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,torvsorl-10-18-2025,home,TOR,,,,,,,,,
A. Marín,45,0,0,0,0,78.6,0,22,0,0,0,0,0,1,0,1,1,0,torvsorl-10-18-2025,home,TOR,,,,,,,,,
S. Johnson,90,0,,0,,53.5,0,0,,,,,,0,0,,0,0,torvsorl-10-18-2025,home,TOR,8,2,0,23,0,15,0,0,0
P. Gallese,90,0,,0,,85.7,0,0,,,,,,0,0,,0,0,torvsorl-10-18-2025,home,TOR,2,4,0,12,0,3,0,0,0
A. Sejdić,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,clbvsrbny-10-18-2025,home,CLB,,,,,,,,,
R. Camacho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,clbvsrbny-10-18-2025,home,CLB,,,,,,,,,
L. Lappalainen,45,0,0.06,1,0,87,1,20,0,0,2,0,0,1,0,0,0,0,clbvsrbny-10-18-2025,home,CLB,,,,,,,,,
D. Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,clbvsrbny-10-18-2025,home,CLB,,,,,,,,,
E. Bush,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,clbvsrbny-10-18-2025,home,CLB,,,,,,,,,
S. Moreira,89,0,0.06,1,0,78,0,32,0,0,0,0,0,2,0,0,0,0,clbvsrbny-10-18-2025,home,CLB,,,,,,,,,
D. Nagbe,90,0,0,0,0,91.9,0,57,0,0,0,0,0,1,1,0,0,0,clbvsrbny-10-18-2025,home,CLB,,,,,,,,,
S. Zawadzki,90,0,0,0,0,87.1,0,74,0,0,1,0,0,0,0,0,0,0,clbvsrbny-10-18-2025,home,CLB,,,,,,,,,
J. Russell-Rowe,61,0,0.33,2,1,71.4,0,10,1,0,3,0,0,0,0,1,0,0,clbvsrbny-10-18-2025,home,CLB,,,,,,,,,
M. Amundsen,90,0,0.07,2,0,82.9,0,58,0,0,0,0,0,1,2,0,0,0,clbvsrbny-10-18-2025,home,CLB,,,,,,,,,
D. Gazdag,45,1,0.47,3,3,94.4,0,17,0,0,0,0,0,0,4,0,0,0,clbvsrbny-10-18-2025,home,CLB,,,,,,,,,
T. Habroune,29,0,0,0,0,87.5,1,28,0,0,1,0,0,1,1,0,0,0,clbvsrbny-10-18-2025,home,CLB,,,,,,,,,
M. Arfsten,90,0,0,0,0,75.9,2,44,0,0,1,0,0,0,1,1,0,0,clbvsrbny-10-18-2025,home,CLB,,,,,,,,,
I. Aliyu,8,1,0.27,1,1,80,0,4,0,0,0,0,0,0,0,0,0,0,clbvsrbny-10-18-2025,home,CLB,,,,,,,,,
Y. Cheberko,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,clbvsrbny-10-18-2025,home,CLB,,,,,,,,,
D. Chambost,82,0,0,0,0,83.3,0,40,0,4,1,0,0,0,0,0,0,0,clbvsrbny-10-18-2025,home,CLB,,,,,,,,,
A. Herrera,90,1,0.27,2,1,82.1,0,23,0,0,1,0,0,1,1,0,0,0,clbvsrbny-10-18-2025,home,CLB,,,,,,,,,
C. Ruvalcaba,1,0,0,0,0,100,0,6,0,0,0,0,0,0,0,0,0,0,clbvsrbny-10-18-2025,home,CLB,,,,,,,,,
H. Picard,90,0,0.21,1,0,77.1,0,27,0,0,1,0,0,1,1,1,0,0,clbvsrbny-10-18-2025,home,CLB,,,,,,,,,
T. Parker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,clbvsrbny-10-18-2025,home,CLB,,,,,,,,,
R. Edwards,59,0,0,0,0,73.5,0,25,0,0,1,0,0,0,0,0,0,0,clbvsrbny-10-18-2025,home,CLB,,,,,,,,,
C. Coronel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,clbvsrbny-10-18-2025,home,CLB,,,,,,,,,
K. Duncan,16,0,0,0,0,92.3,0,12,0,0,0,0,0,1,0,0,0,0,clbvsrbny-10-18-2025,home,CLB,,,,,,,,,
D. Nealis,74,0,0,0,0,83.9,0,26,1,0,1,0,0,1,4,0,1,0,clbvsrbny-10-18-2025,home,CLB,,,,,,,,,
S. Nealis,90,0,0.02,1,0,90.6,0,58,0,0,0,0,0,1,0,0,0,0,clbvsrbny-10-18-2025,home,CLB,,,,,,,,,
W. Carmona,31,0,0,0,0,85.7,0,6,0,0,0,0,0,0,0,0,0,0,clbvsrbny-10-18-2025,home,CLB,,,,,,,,,
D. Edelman,90,0,0,0,0,74.5,0,38,0,0,0,0,0,1,0,0,1,0,clbvsrbny-10-18-2025,home,CLB,,,,,,,,,
S. Ngoma,31,0,0,0,0,50,0,1,0,0,0,0,0,3,0,0,0,0,clbvsrbny-10-18-2025,home,CLB,,,,,,,,,
P. Stroud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,clbvsrbny-10-18-2025,home,CLB,,,,,,,,,
O. Valencia,74,0,0,0,0,88.2,0,15,0,1,1,0,0,0,2,1,0,0,clbvsrbny-10-18-2025,home,CLB,,,,,,,,,
R. Donkor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,clbvsrbny-10-18-2025,home,CLB,,,,,,,,,
J. Hall,16,0,0.04,1,0,25,0,1,0,0,0,0,0,0,0,0,0,0,clbvsrbny-10-18-2025,home,CLB,,,,,,,,,
E. Forsberg,90,0,0.33,2,2,84.4,1,27,0,0,1,0,0,0,0,1,0,0,clbvsrbny-10-18-2025,home,CLB,,,,,,,,,
D. Gjengaar,59,0,0.07,1,0,90.9,0,10,0,0,1,0,0,1,0,0,0,0,clbvsrbny-10-18-2025,home,CLB,,,,,,,,,
E. Choupo-Moting,75,1,0.21,2,1,47.1,0,8,0,0,0,0,0,1,0,1,0,0,clbvsrbny-10-18-2025,home,CLB,,,,,,,,,
A. Hack,90,0,0.06,1,0,84.1,0,58,0,0,1,0,0,0,1,0,0,0,clbvsrbny-10-18-2025,home,CLB,,,,,,,,,
W. Bogacz,15,0,0,0,0,100,0,3,0,0,0,0,0,0,0,0,0,0,clbvsrbny-10-18-2025,home,CLB,,,,,,,,,
G. Berggren,90,0,0,0,0,78.1,1,25,0,0,1,0,0,2,0,0,0,0,clbvsrbny-10-18-2025,home,CLB,,,,,,,,,
P. Schulte,90,0,,0,,79.4,0,1,,,,,,0,0,,0,0,clbvsrbny-10-18-2025,home,CLB,2,1,0,27,0,7,0,0,0
J. McCarthy,90,0,,0,,44.8,0,1,,,,,,0,1,,0,0,clbvsrbny-10-18-2025,home,CLB,3,3,0,13,0,13,0,0,0
D. Fagúndez,90,0,0.27,1,1,88.7,0,63,0,2,2,0,0,4,0,0,0,0,lavsmin-10-18-2025,home,LA,,,,,,,,,
M. Berry,8,0,0,0,0,100,0,2,0,0,0,0,0,1,0,0,0,0,lavsmin-10-18-2025,home,LA,,,,,,,,,
J. Nelson,90,0,0,0,0,83,0,39,0,0,1,0,0,0,0,0,0,0,lavsmin-10-18-2025,home,LA,,,,,,,,,
E. Cerrillo,89,0,0.05,1,0,89.7,0,61,0,0,1,0,0,7,1,0,1,0,lavsmin-10-18-2025,home,LA,,,,,,,,,
E. Zavaleta,9,0,0,0,0,100,0,8,0,0,0,0,0,0,0,0,0,0,lavsmin-10-18-2025,home,LA,,,,,,,,,
J. Marcinkowski,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lavsmin-10-18-2025,home,LA,,,,,,,,,
C. Ramírez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lavsmin-10-18-2025,home,LA,,,,,,,,,
M. Cuevas,81,0,0,0,0,84.6,0,55,2,0,0,0,0,0,2,0,0,0,lavsmin-10-18-2025,home,LA,,,,,,,,,
M. Yoshida,90,0,0,0,0,95.2,0,80,0,0,0,0,0,0,0,0,0,0,lavsmin-10-18-2025,home,LA,,,,,,,,,
M. Yamane,16,0,0,0,0,75,0,9,0,0,0,0,0,0,0,0,0,0,lavsmin-10-18-2025,home,LA,,,,,,,,,
G. Pec,90,0,0.15,3,3,81.8,0,54,0,5,1,0,0,0,2,0,0,0,lavsmin-10-18-2025,home,LA,,,,,,,,,
J. Paintsil,89,1,1.14,4,2,92.9,0,26,0,0,0,0,0,0,1,0,0,0,lavsmin-10-18-2025,home,LA,,,,,,,,,
T. Lepley,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lavsmin-10-18-2025,home,LA,,,,,,,,,
E. Wynder,82,0,0,0,0,75,0,24,0,0,1,0,0,1,2,0,0,0,lavsmin-10-18-2025,home,LA,,,,,,,,,
E. Garces,90,0,0,0,0,96,0,73,0,0,0,0,0,1,2,0,0,0,lavsmin-10-18-2025,home,LA,,,,,,,,,
M. Jørgensen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lavsmin-10-18-2025,home,LA,,,,,,,,,
M. Nascimento,74,1,0.32,2,2,81.8,0,9,0,0,0,0,0,0,1,0,0,0,lavsmin-10-18-2025,home,LA,,,,,,,,,
A. Markanich,90,0,0.22,2,0,89.7,0,26,0,0,0,0,0,1,0,0,0,0,lavsmin-10-18-2025,home,LA,,,,,,,,,
M. Boxall,49,0,0,0,0,92,0,23,0,0,1,0,0,2,1,0,0,0,lavsmin-10-18-2025,home,LA,,,,,,,,,
D. Taylor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lavsmin-10-18-2025,home,LA,,,,,,,,,
J. Rosales,90,0,0.08,1,0,78.1,0,25,0,0,2,0,0,1,5,0,0,0,lavsmin-10-18-2025,home,LA,,,,,,,,,
R. Lod,77,0,0.15,2,1,87,0,20,0,0,1,0,0,0,0,0,0,0,lavsmin-10-18-2025,home,LA,,,,,,,,,
W. Trapp,65,0,0,0,0,77.8,0,21,0,0,0,0,0,1,0,0,0,0,lavsmin-10-18-2025,home,LA,,,,,,,,,
H. Dotson,25,0,0,0,0,94.7,0,18,0,0,0,0,0,0,3,0,0,0,lavsmin-10-18-2025,home,LA,,,,,,,,,
B. Hlongwane,90,0,0.03,1,0,83.3,0,20,0,0,0,0,0,0,0,0,0,0,lavsmin-10-18-2025,home,LA,,,,,,,,,
J. Gressel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lavsmin-10-18-2025,home,LA,,,,,,,,,
A. Smir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lavsmin-10-18-2025,home,LA,,,,,,,,,
M. Duggan,41,0,0,0,0,100,0,15,0,0,0,0,0,0,0,0,0,0,lavsmin-10-18-2025,home,LA,,,,,,,,,
M. Dieng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lavsmin-10-18-2025,home,LA,,,,,,,,,
K. Yeboah,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,lavsmin-10-18-2025,home,LA,,,,,,,,,
J. Diaz,78,0,0.13,1,0,82.1,0,23,1,0,2,0,0,0,0,0,0,0,lavsmin-10-18-2025,home,LA,,,,,,,,,
J. Pereyra,90,1,0.19,4,3,77.1,0,37,3,6,3,0,0,2,1,0,0,0,lavsmin-10-18-2025,home,LA,,,,,,,,,
N. Romero,90,0,0.03,1,0,90,0,36,0,0,0,0,0,2,1,0,1,0,lavsmin-10-18-2025,home,LA,,,,,,,,,
O. Gene,25,0,0,0,0,95.7,0,22,0,0,0,0,0,1,1,0,0,0,lavsmin-10-18-2025,home,LA,,,,,,,,,
D. Fitz,13,0,0,0,0,69.2,0,9,0,0,0,0,0,0,0,0,0,0,lavsmin-10-18-2025,home,LA,,,,,,,,,
N. Triantis,65,0,0.2,1,0,85.7,0,18,0,0,0,0,0,1,1,0,1,0,lavsmin-10-18-2025,home,LA,,,,,,,,,
N. Micovic,90,0,,0,,68.8,0,1,,,,,,0,0,,0,0,lavsmin-10-18-2025,home,LA,3,1,0,22,0,10,0,0,0
D. St. Clair,90,0,,0,,71.9,0,0,,,,,,0,1,,0,0,lavsmin-10-18-2025,home,LA,5,2,0,23,0,7,0,0,0
J. Martínez,85,1,1.46,4,2,92.9,0,13,0,0,1,0,0,0,1,0,0,0,sjvsatx-10-18-2025,home,SJ,,,,,,,,,
N. Lima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sjvsatx-10-18-2025,home,SJ,,,,,,,,,
P. Judd,28,0,0.53,5,2,66.7,0,2,0,0,0,0,0,1,1,0,0,0,sjvsatx-10-18-2025,home,SJ,,,,,,,,,
C. Arango,85,0,0.26,4,1,89.7,0,26,0,0,0,0,0,3,2,0,0,0,sjvsatx-10-18-2025,home,SJ,,,,,,,,,
D. Romney,90,0,0,0,0,92.4,0,61,0,0,0,0,0,0,0,0,0,0,sjvsatx-10-18-2025,home,SJ,,,,,,,,,
C. Espinoza,90,0,0,0,0,76.7,0,46,6,15,8,0,0,0,0,0,0,0,sjvsatx-10-18-2025,home,SJ,,,,,,,,,
J. Skahan,17,0,0,0,0,75,1,3,1,0,1,0,0,0,0,0,0,0,sjvsatx-10-18-2025,home,SJ,,,,,,,,,
N. Tsakiris,17,1,0.06,1,1,82.3,1,14,0,0,0,0,0,0,0,0,0,0,sjvsatx-10-18-2025,home,SJ,,,,,,,,,
O. Bouda,73,0,0.29,5,3,87.9,0,29,2,0,2,0,0,0,1,0,0,0,sjvsatx-10-18-2025,home,SJ,,,,,,,,,
B. Kikanovic,90,0,0.08,1,0,90.4,0,47,0,0,0,0,0,1,1,0,0,0,sjvsatx-10-18-2025,home,SJ,,,,,,,,,
M. Kaye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sjvsatx-10-18-2025,home,SJ,,,,,,,,,
D. Munie,90,0,0.12,1,0,91.5,0,65,0,0,0,0,0,0,1,0,0,0,sjvsatx-10-18-2025,home,SJ,,,,,,,,,
I. Harkes,5,0,0,0,0,80,0,4,0,0,0,0,0,0,0,0,0,0,sjvsatx-10-18-2025,home,SJ,,,,,,,,,
V. Costa,5,0,0,0,0,100,0,7,0,0,0,0,0,0,0,0,0,0,sjvsatx-10-18-2025,home,SJ,,,,,,,,,
J. Ricketts,62,0,0.07,1,0,89.2,0,33,1,0,1,0,0,0,1,0,0,0,sjvsatx-10-18-2025,home,SJ,,,,,,,,,
B. Leroux,73,0,0.27,3,0,79.2,0,38,1,0,4,0,0,1,4,0,0,0,sjvsatx-10-18-2025,home,SJ,,,,,,,,,
F. Montali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sjvsatx-10-18-2025,home,SJ,,,,,,,,,
M. Floriani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sjvsatx-10-18-2025,home,SJ,,,,,,,,,
R. Vieira,90,0,0.05,1,1,88.9,0,48,0,0,0,0,0,3,0,0,0,0,sjvsatx-10-18-2025,home,SJ,,,,,,,,,
J. Gallagher,90,0,0,0,0,88.9,0,16,0,0,0,0,0,1,1,0,0,0,sjvsatx-10-18-2025,home,SJ,,,,,,,,,
J. Cascante,27,0,0,0,0,90.9,0,10,0,0,0,0,0,0,1,0,0,0,sjvsatx-10-18-2025,home,SJ,,,,,,,,,
Ž. Kolmanič,45,0,0,0,0,75,0,12,0,1,0,0,0,0,0,2,1,0,sjvsatx-10-18-2025,home,SJ,,,,,,,,,
D. Pereira,72,0,0,0,0,78.1,0,25,0,0,0,0,0,2,0,0,0,0,sjvsatx-10-18-2025,home,SJ,,,,,,,,,
O. Wolff,45,1,0.06,1,1,80,0,12,0,0,1,0,0,0,3,0,0,0,sjvsatx-10-18-2025,home,SJ,,,,,,,,,
B. Hines-Ike,63,0,0,0,0,88.9,0,8,0,0,0,0,0,0,0,0,0,0,sjvsatx-10-18-2025,home,SJ,,,,,,,,,
J. Obrian,90,0,0,0,0,88.9,1,8,0,0,1,0,0,1,0,1,0,0,sjvsatx-10-18-2025,home,SJ,,,,,,,,,
R. Taylor,90,0,0.12,1,1,52.6,0,10,0,0,0,0,0,0,0,0,0,0,sjvsatx-10-18-2025,home,SJ,,,,,,,,,
I. Sánchez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sjvsatx-10-18-2025,home,SJ,,,,,,,,,
S. Cleveland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sjvsatx-10-18-2025,home,SJ,,,,,,,,,
C. Fodrey,18,0,0.05,1,0,66.7,0,2,0,0,0,0,0,1,0,0,0,0,sjvsatx-10-18-2025,home,SJ,,,,,,,,,
G. Biro,90,0,0.06,1,0,72.4,0,21,0,0,0,0,0,3,0,0,1,0,sjvsatx-10-18-2025,home,SJ,,,,,,,,,
M. Desler,45,0,0,0,0,80,0,8,0,0,0,0,0,0,0,0,0,0,sjvsatx-10-18-2025,home,SJ,,,,,,,,,
O. Svatok,27,0,0,0,0,100,0,12,0,0,1,0,0,0,0,0,0,0,sjvsatx-10-18-2025,home,SJ,,,,,,,,,
B. Sabovic,45,0,0,0,0,91.7,0,11,0,0,0,0,0,1,0,0,0,0,sjvsatx-10-18-2025,home,SJ,,,,,,,,,
M. Uzuni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sjvsatx-10-18-2025,home,SJ,,,,,,,,,
N. Dubersarsky,90,0,0,0,0,83.3,0,30,0,0,1,0,0,3,1,0,1,0,sjvsatx-10-18-2025,home,SJ,,,,,,,,,
R. Thomas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sjvsatx-10-18-2025,home,SJ,,,,,,,,,
M. Djordjevic,63,0,0,0,0,84.6,0,11,0,0,0,0,0,0,1,0,0,0,sjvsatx-10-18-2025,home,SJ,,,,,,,,,
E. Edwards Jr.,90,0,,0,,66.7,0,0,,,,,,0,0,,0,0,sjvsatx-10-18-2025,home,SJ,1,1,0,16,0,10,0,0,0
B. Stuver,90,0,,0,,68.6,0,0,,,,,,0,0,,0,0,sjvsatx-10-18-2025,home,SJ,8,2,0,24,0,8,0,0,0
K. Miller,90,0,0,0,0,78.1,0,25,0,0,0,1,50,0,1,0,0,0,porvssd-10-18-2025,home,POR,,,,,,,,,
A. Lassiter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,porvssd-10-18-2025,home,POR,,,,,,,,,
M. Crépeau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,porvssd-10-18-2025,home,POR,,,,,,,,,
O. Fernández,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,porvssd-10-18-2025,home,POR,,,,,,,,,
D. Zuparic,90,0,0,0,0,82.6,0,19,0,0,0,2,100,0,1,0,0,0,porvssd-10-18-2025,home,POR,,,,,,,,,
J. Mosquera,36,0,0,0,0,93.8,0,15,0,0,0,0,0,0,0,0,0,0,porvssd-10-18-2025,home,POR,,,,,,,,,
D. Chará,36,0,0,0,0,96.3,0,26,0,0,0,0,0,1,1,0,0,0,porvssd-10-18-2025,home,POR,,,,,,,,,
C. Paredes,45,0,0,0,0,78.6,0,11,0,0,0,0,0,1,0,0,1,0,porvssd-10-18-2025,home,POR,,,,,,,,,
D. Ayala,90,0,0,0,0,85.4,0,35,0,0,0,1,100,2,2,0,0,0,porvssd-10-18-2025,home,POR,,,,,,,,,
F. Mora,17,0,0.3,2,1,100,0,3,0,0,0,1,100,0,0,0,0,0,porvssd-10-18-2025,home,POR,,,,,,,,,
A. Alves Santos,90,0,0.16,1,0,72.7,0,24,0,0,0,0,0,0,1,1,0,0,porvssd-10-18-2025,home,POR,,,,,,,,,
M. Rojas,36,0,0.19,3,0,72.7,0,8,0,1,0,1,100,1,1,1,0,0,porvssd-10-18-2025,home,POR,,,,,,,,,
K. Kelsy,73,0,0,0,0,88.2,0,15,0,0,1,2,66.67,0,1,0,0,0,porvssd-10-18-2025,home,POR,,,,,,,,,
J. Ortiz,54,0,0,0,0,92,0,23,0,0,0,0,0,2,0,0,1,0,porvssd-10-18-2025,home,POR,,,,,,,,,
I. Smith,54,0,0,0,0,87.5,0,7,1,0,1,0,0,1,0,1,0,0,porvssd-10-18-2025,home,POR,,,,,,,,,
J. Fory,45,0,0,0,0,93.3,0,14,0,0,0,1,100,1,1,0,0,0,porvssd-10-18-2025,home,POR,,,,,,,,,
D. Da Costa,54,0,0,0,0,71.4,0,10,0,0,0,0,0,0,1,0,0,0,porvssd-10-18-2025,home,POR,,,,,,,,,
G. Guerra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,porvssd-10-18-2025,home,POR,,,,,,,,,
K. Velde,90,0,0.38,5,1,87.5,0,14,1,2,3,0,0,2,4,1,0,0,porvssd-10-18-2025,home,POR,,,,,,,,,
P. Sisniega,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,porvssd-10-18-2025,home,POR,,,,,,,,,
C. Baird,90,0,0.17,1,0,82.3,0,28,1,0,0,0,0,1,1,1,0,0,porvssd-10-18-2025,home,POR,,,,,,,,,
C. McVey,90,0,0,0,0,89.7,0,104,0,0,0,2,50,1,0,0,1,0,porvssd-10-18-2025,home,POR,,,,,,,,,
A. Godoy,67,0,0,0,0,96.8,0,92,0,0,0,0,0,1,1,0,1,0,porvssd-10-18-2025,home,POR,,,,,,,,,
E. Boateng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,porvssd-10-18-2025,home,POR,,,,,,,,,
F. Negri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,porvssd-10-18-2025,home,POR,,,,,,,,,
L. Bombino,90,0,0.1,2,0,86.8,0,59,2,0,5,0,0,1,0,1,0,0,porvssd-10-18-2025,home,POR,,,,,,,,,
A. Pellegrino,67,2,0.72,4,2,66.7,1,14,0,2,1,0,0,0,0,1,0,0,porvssd-10-18-2025,home,POR,,,,,,,,,
L. de la Torre,23,0,0.15,1,1,100,0,24,0,2,1,0,0,0,1,0,0,0,porvssd-10-18-2025,home,POR,,,,,,,,,
J. Tverskov,67,0,0,0,0,96.9,2,94,0,0,1,2,66.67,1,1,0,0,0,porvssd-10-18-2025,home,POR,,,,,,,,,
M. Ingvartsen,8,0,0,0,0,100,0,4,0,0,0,0,0,0,0,0,0,0,porvssd-10-18-2025,home,POR,,,,,,,,,
A. Mighten,23,0,0.28,3,1,100,0,9,0,0,0,0,0,0,0,0,0,0,porvssd-10-18-2025,home,POR,,,,,,,,,
A. Dreyer,90,2,0.4,3,2,87,1,60,0,1,2,0,0,1,0,0,0,0,porvssd-10-18-2025,home,POR,,,,,,,,,
M. Duah,90,0,0,0,0,97.2,0,105,0,0,0,0,0,1,1,0,0,0,porvssd-10-18-2025,home,POR,,,,,,,,,
I. Pilcher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,porvssd-10-18-2025,home,POR,,,,,,,,,
O. Valakari,90,0,0,0,0,86.8,2,46,0,0,2,0,0,3,3,0,0,0,porvssd-10-18-2025,home,POR,,,,,,,,,
W. Kumado,27,0,0,0,0,83.3,0,10,0,0,0,0,0,1,0,0,0,0,porvssd-10-18-2025,home,POR,,,,,,,,,
A. Harangi,55,0,0.27,2,0,96.8,0,30,1,0,0,0,0,1,2,0,0,0,porvssd-10-18-2025,home,POR,,,,,,,,,
P. Soma,23,0,0,0,0,90.9,0,30,0,0,0,0,0,2,1,0,0,0,porvssd-10-18-2025,home,POR,,,,,,,,,
J. Pantemis,90,0,,0,,57.7,0,1,,,,,,0,0,,0,0,porvssd-10-18-2025,home,POR,2,4,0,15,0,10,0,0,0
C. dos Santos,90,0,,0,,93.3,0,1,,,,,,0,0,,0,0,porvssd-10-18-2025,home,POR,3,0,0,28,0,3,0,0,0
C. Durkin,83,0,0,0,0,92.3,0,36,1,0,1,0,0,3,0,0,1,0,stlvsrsl-10-18-2025,home,STL,,,,,,,,,
D. Padelford,7,0,0,0,0,66.7,1,2,0,0,0,0,0,2,0,0,0,0,stlvsrsl-10-18-2025,home,STL,,,,,,,,,
A. Morales,7,0,0,0,0,100,0,7,0,0,1,0,0,0,1,0,0,0,stlvsrsl-10-18-2025,home,STL,,,,,,,,,
S. Becher,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,stlvsrsl-10-18-2025,home,STL,,,,,,,,,
J. Yaro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,stlvsrsl-10-18-2025,home,STL,,,,,,,,,
M. Joyner,72,0,0.31,2,1,80.8,0,21,0,0,1,0,0,0,3,0,0,0,stlvsrsl-10-18-2025,home,STL,,,,,,,,,
K. Hiebert,90,0,0,0,0,97.9,0,46,0,0,0,0,0,0,0,0,0,0,stlvsrsl-10-18-2025,home,STL,,,,,,,,,
C. Pompeu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,stlvsrsl-10-18-2025,home,STL,,,,,,,,,
J. Klauss,90,1,0.8,8,1,90.9,0,20,0,0,3,0,0,1,1,0,0,0,stlvsrsl-10-18-2025,home,STL,,,,,,,,,
E. Löwen,83,1,0.92,6,3,89.6,0,69,4,3,2,0,0,1,1,0,0,0,stlvsrsl-10-18-2025,home,STL,,,,,,,,,
B. Lundt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,stlvsrsl-10-18-2025,home,STL,,,,,,,,,
T. Ostrak,18,0,0.05,1,0,100,0,7,0,0,0,0,0,1,0,0,1,0,stlvsrsl-10-18-2025,home,STL,,,,,,,,,
J. Sang-bin,65,0,0,0,0,76.9,0,20,0,0,2,0,0,1,1,0,0,0,stlvsrsl-10-18-2025,home,STL,,,,,,,,,
T. Totland,83,0,0.08,1,1,82.5,0,33,3,0,5,0,0,0,0,0,0,0,stlvsrsl-10-18-2025,home,STL,,,,,,,,,
B. McSorley,25,0,0.89,2,1,83.3,0,5,0,0,0,0,0,0,1,0,0,0,stlvsrsl-10-18-2025,home,STL,,,,,,,,,
M. Hartel,90,0,0.63,7,1,84.9,0,45,1,3,4,0,0,0,0,0,0,0,stlvsrsl-10-18-2025,home,STL,,,,,,,,,
T. Baumgartl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,stlvsrsl-10-18-2025,home,STL,,,,,,,,,
C. Wallem,90,0,0,0,0,92.5,0,49,0,1,1,0,0,2,3,0,0,0,stlvsrsl-10-18-2025,home,STL,,,,,,,,,
F. Fall,90,0,0,0,0,91.7,1,44,0,0,1,0,0,2,1,0,1,0,stlvsrsl-10-18-2025,home,STL,,,,,,,,,
S. Junqua,90,0,0,0,0,75.9,0,22,0,0,1,0,0,2,1,0,0,0,stlvsrsl-10-18-2025,home,STL,,,,,,,,,
